P,B,snr_db,per
20.0,10.0,12.600000000000001,1.5641527689427505e-16
20.0,10.0,12.8,2.814352511995639e-17
20.0,10.0,13.0,4.670589871487152e-18
20.0,10.0,13.200000000000001,7.122039633687663e-19
20.0,10.0,13.4,9.939029507980498e-20
20.0,10.0,13.600000000000001,1.2640853340045511e-20
20.0,10.0,13.8,1.4588209959778574e-21
20.0,10.0,14.0,1.5206584254106463e-22
20.0,10.0,14.200000000000001,1.4248938232653727e-23
20.0,10.0,14.4,1.1941900403693677e-24
20.0,10.0,14.600000000000001,8.904727854637067e-26
20.0,10.0,14.8,5.8753351358244524e-27
20.0,10.0,15.0,3.4103993656548496e-28
20.0,10.0,15.200000000000001,1.7310763805282114e-29
20.0,10.0,15.4,7.635189759887969e-31
20.0,10.0,15.600000000000001,2.90697209355151e-32
20.0,10.0,15.8,9.487867694841694e-34
20.0,10.0,16.0,2.635424169267024e-35
20.0,10.0,16.2,6.182803112524935e-37
20.0,10.0,16.400000000000002,1.2153925192620246e-38
20.0,10.0,16.6,1.9852915834693196e-40
20.0,10.0,16.8,2.6712738104826532e-42
20.0,10.0,17.0,2.933796641422999e-44
20.0,10.0,17.2,2.6049727845772265e-46
20.0,10.0,17.400000000000002,1.8513399832840897e-48
20.0,10.0,17.6,1.0421305071472314e-50
20.0,10.0,17.8,4.595569622337843e-53
20.0,10.0,18.0,1.5694279950854236e-55
20.0,10.0,18.2,4.101061292878464e-58
20.0,10.0,18.400000000000002,8.097023207212411e-61
20.0,10.0,18.6,1.1920432405648057e-63
20.0,10.0,18.8,1.2905921341404027e-66
20.0,10.0,19.0,1.0128057722929076e-69
20.0,10.0,19.200000000000003,5.674358787693226e-73
20.0,10.0,19.400000000000002,2.2339003115028644e-76
20.0,10.0,19.6,6.077780429208356e-80
20.0,10.0,19.8,1.1230469855760778e-83
20.0,10.0,20.0,1.3838965267367376e-87
20.0,12.5,0.0,0.1353352832366127
20.0,12.5,0.2,0.12316170698775779
20.0,12.5,0.4,0.11158636741385636
20.0,12.5,0.6000000000000001,0.10062975970018703
20.0,12.5,0.8,0.09030803248122733
20.0,12.5,1.0,0.08063271459146418
20.0,12.5,1.2000000000000002,0.07161050648861361
20.0,12.5,1.4000000000000001,0.06324314547361873
20.0,12.5,1.6,0.05552735251692115
20.0,12.5,1.8,0.04845486674521224
20.0,12.5,2.0,0.04201257146368818
20.0,12.5,2.2,0.036182713027896135
20.0,12.5,2.4000000000000004,0.030943211006522486
20.0,12.5,2.6,0.026268054990367266
20.0,12.5,2.8000000000000003,0.0221277802287437
20.0,12.5,3.0,0.01849001116140579
20.0,12.5,3.2,0.015320059027485618
20.0,12.5,3.4000000000000004,0.012581557246394922
20.0,12.5,3.6,0.010237116349376376
20.0,12.5,3.8000000000000003,0.008248979048099177
20.0,12.5,4.0,0.006579655681726494
20.0,12.5,4.2,0.0051925208657046095
20.0,12.5,4.4,0.004052353697981472
20.0,12.5,4.6000000000000005,0.0031258063213210068
20.0,12.5,4.800000000000001,0.0023817888861335174
20.0,12.5,5.0,0.0017917628339095208
20.0,12.5,5.2,0.0013299386978513543
20.0,12.5,5.4,0.0009733790249299982
20.0,12.5,5.6000000000000005,0.0007020112731830919
20.0,12.5,5.800000000000001,0.0004985593460446209
20.0,12.5,6.0,0.00034840554027157843
20.0,12.5,6.2,0.0002393969106667596
20.0,12.5,6.4,0.00016161127475245013
20.0,12.5,6.6000000000000005,0.00010709826373169379
20.0,12.5,6.800000000000001,6.961003315740401e-05
20.0,12.5,7.0,4.4334621052057864e-05
20.0,12.5,7.2,2.76426909974646e-05
20.0,12.5,7.4,1.6855770832605432e-05
20.0,12.5,7.6000000000000005,1.004135244853713e-05
20.0,12.5,7.800000000000001,5.837594646969041e-06
20.0,12.5,8.0,3.3080658007405878e-06
20.0,12.5,8.200000000000001,1.8251124431334812e-06
20.0,12.5,8.4,9.791123721890826e-07
20.0,12.5,8.6,5.100693186718349e-07
20.0,12.5,8.8,2.5767892582187494e-07
20.0,12.5,9.0,1.2605283474849951e-07
20.0,12.5,9.200000000000001,5.961995985447279e-08
20.0,12.5,9.4,2.7221144369227037e-08
20.0,12.5,9.600000000000001,1.1977729491734144e-08
20.0,12.5,9.8,5.070371639117204e-09
20.0,12.5,10.0,2.061153622438558e-09
20.0,12.5,10.200000000000001,8.030766427512977e-10
20.0,12.5,10.4,2.993032259344969e-10
20.0,12.5,10.600000000000001,1.0647909619137742e-10
20.0,12.5,10.8,3.6079773720871403e-11
20.0,12.5,11.0,1.161750346280782e-11
20.0,12.5,11.200000000000001,3.546234530083662e-12
20.0,12.5,11.4,1.0236102345847003e-12
20.0,12.5,11.600000000000001,2.7865681752777105e-13
20.0,12.5,11.8,7.134672384472977e-14
20.0,12.5,12.0,1.7131391583847143e-14
20.0,12.5,12.200000000000001,3.8460176877672504e-15
20.0,12.5,12.4,8.047366643780643e-16
20.0,12.5,12.600000000000001,1.5641527689427505e-16
20.0,12.5,12.8,2.814352511995639e-17
20.0,12.5,13.0,4.670589871487152e-18
20.0,12.5,13.200000000000001,7.122039633687663e-19
20.0,12.5,13.4,9.939029507980498e-20
20.0,12.5,13.600000000000001,1.2640853340045511e-20
20.0,12.5,13.8,1.4588209959778574e-21
20.0,12.5,14.0,1.5206584254106463e-22
20.0,12.5,14.200000000000001,1.4248938232653727e-23
20.0,12.5,14.4,1.1941900403693677e-24
20.0,12.5,14.600000000000001,8.904727854637067e-26
20.0,12.5,14.8,5.8753351358244524e-27
20.0,12.5,15.0,3.4103993656548496e-28
20.0,12.5,15.200000000000001,1.7310763805282114e-29
20.0,12.5,15.4,7.635189759887969e-31
20.0,12.5,15.600000000000001,2.90697209355151e-32
20.0,12.5,15.8,9.487867694841694e-34
20.0,12.5,16.0,2.635424169267024e-35
20.0,12.5,16.2,6.182803112524935e-37
20.0,12.5,16.400000000000002,1.2153925192620246e-38
20.0,12.5,16.6,1.9852915834693196e-40
20.0,12.5,16.8,2.6712738104826532e-42
20.0,12.5,17.0,2.933796641422999e-44
20.0,12.5,17.2,2.6049727845772265e-46
20.0,12.5,17.400000000000002,1.8513399832840897e-48
20.0,12.5,17.6,1.0421305071472314e-50
20.0,12.5,17.8,4.595569622337843e-53
20.0,12.5,18.0,1.5694279950854236e-55
20.0,12.5,18.2,4.101061292878464e-58
20.0,12.5,18.400000000000002,8.097023207212411e-61
20.0,12.5,18.6,1.1920432405648057e-63
20.0,12.5,18.8,1.2905921341404027e-66
20.0,12.5,19.0,1.0128057722929076e-69
20.0,12.5,19.200000000000003,5.674358787693226e-73
20.0,12.5,19.400000000000002,2.2339003115028644e-76
20.0,12.5,19.6,6.077780429208356e-80
20.0,12.5,19.8,1.1230469855760778e-83
20.0,12.5,20.0,1.3838965267367376e-87
20.0,15.0,0.0,0.1353352832366127
20.0,15.0,0.2,0.12316170698775779
20.0,15.0,0.4,0.11158636741385636
20.0,15.0,0.6000000000000001,0.10062975970018703
20.0,15.0,0.8,0.09030803248122733
20.0,15.0,1.0,0.08063271459146418
20.0,15.0,1.2000000000000002,0.07161050648861361
20.0,15.0,1.4000000000000001,0.06324314547361873
20.0,15.0,1.6,0.05552735251692115
20.0,15.0,1.8,0.04845486674521224
20.0,15.0,2.0,0.04201257146368818
20.0,15.0,2.2,0.036182713027896135
20.0,15.0,2.4000000000000004,0.030943211006522486
20.0,15.0,2.6,0.026268054990367266
20.0,15.0,2.8000000000000003,0.0221277802287437
20.0,15.0,3.0,0.01849001116140579
20.0,15.0,3.2,0.015320059027485618
20.0,15.0,3.4000000000000004,0.012581557246394922
20.0,15.0,3.6,0.010237116349376376
20.0,15.0,3.8000000000000003,0.008248979048099177
20.0,15.0,4.0,0.006579655681726494
20.0,15.0,4.2,0.0051925208657046095
20.0,15.0,4.4,0.004052353697981472
20.0,15.0,4.6000000000000005,0.0031258063213210068
20.0,15.0,4.800000000000001,0.0023817888861335174
20.0,15.0,5.0,0.0017917628339095208
20.0,15.0,5.2,0.0013299386978513543
20.0,15.0,5.4,0.0009733790249299982
20.0,15.0,5.6000000000000005,0.0007020112731830919
20.0,15.0,5.800000000000001,0.0004985593460446209
20.0,15.0,6.0,0.00034840554027157843
20.0,15.0,6.2,0.0002393969106667596
20.0,15.0,6.4,0.00016161127475245013
20.0,15.0,6.6000000000000005,0.00010709826373169379
20.0,15.0,6.800000000000001,6.961003315740401e-05
20.0,15.0,7.0,4.4334621052057864e-05
20.0,15.0,7.2,2.76426909974646e-05
20.0,15.0,7.4,1.6855770832605432e-05
20.0,15.0,7.6000000000000005,1.004135244853713e-05
20.0,15.0,7.800000000000001,5.837594646969041e-06
20.0,15.0,8.0,3.3080658007405878e-06
20.0,15.0,8.200000000000001,1.8251124431334812e-06
20.0,15.0,8.4,9.791123721890826e-07
20.0,15.0,8.6,5.100693186718349e-07
20.0,15.0,8.8,2.5767892582187494e-07
20.0,15.0,9.0,1.2605283474849951e-07
20.0,15.0,9.200000000000001,5.961995985447279e-08
20.0,15.0,9.4,2.7221144369227037e-08
20.0,15.0,9.600000000000001,1.1977729491734144e-08
20.0,15.0,9.8,5.070371639117204e-09
20.0,15.0,10.0,2.061153622438558e-09
20.0,15.0,10.200000000000001,8.030766427512977e-10
20.0,15.0,10.4,2.993032259344969e-10
20.0,15.0,10.600000000000001,1.0647909619137742e-10
20.0,15.0,10.8,3.6079773720871403e-11
20.0,15.0,11.0,1.161750346280782e-11
20.0,15.0,11.200000000000001,3.546234530083662e-12
20.0,15.0,11.4,1.0236102345847003e-12
20.0,15.0,11.600000000000001,2.7865681752777105e-13
20.0,15.0,11.8,7.134672384472977e-14
20.0,15.0,12.0,1.7131391583847143e-14
20.0,15.0,12.200000000000001,3.8460176877672504e-15
20.0,15.0,12.4,8.047366643780643e-16
20.0,15.0,12.600000000000001,1.5641527689427505e-16
20.0,15.0,12.8,2.814352511995639e-17
20.0,15.0,13.0,4.670589871487152e-18
20.0,15.0,13.200000000000001,7.122039633687663e-19
20.0,15.0,13.4,9.939029507980498e-20
20.0,15.0,13.600000000000001,1.2640853340045511e-20
20.0,15.0,13.8,1.4588209959778574e-21
20.0,15.0,14.0,1.5206584254106463e-22
20.0,15.0,14.200000000000001,1.4248938232653727e-23
20.0,15.0,14.4,1.1941900403693677e-24
20.0,15.0,14.600000000000001,8.904727854637067e-26
20.0,15.0,14.8,5.8753351358244524e-27
20.0,15.0,15.0,3.4103993656548496e-28
20.0,15.0,15.200000000000001,1.7310763805282114e-29
20.0,15.0,15.4,7.635189759887969e-31
20.0,15.0,15.600000000000001,2.90697209355151e-32
20.0,15.0,15.8,9.487867694841694e-34
20.0,15.0,16.0,2.635424169267024e-35
20.0,15.0,16.2,6.182803112524935e-37
20.0,15.0,16.400000000000002,1.2153925192620246e-38
20.0,15.0,16.6,1.9852915834693196e-40
20.0,15.0,16.8,2.6712738104826532e-42
20.0,15.0,17.0,2.933796641422999e-44
20.0,15.0,17.2,2.6049727845772265e-46
20.0,15.0,17.400000000000002,1.8513399832840897e-48
20.0,15.0,17.6,1.0421305071472314e-50
20.0,15.0,17.8,4.595569622337843e-53
20.0,15.0,18.0,1.5694279950854236e-55
20.0,15.0,18.2,4.101061292878464e-58
20.0,15.0,18.400000000000002,8.097023207212411e-61
20.0,15.0,18.6,1.1920432405648057e-63
20.0,15.0,18.8,1.2905921341404027e-66
20.0,15.0,19.0,1.0128057722929076e-69
20.0,15.0,19.200000000000003,5.674358787693226e-73
20.0,15.0,19.400000000000002,2.2339003115028644e-76
20.0,15.0,19.6,6.077780429208356e-80
20.0,15.0,19.8,1.1230469855760778e-83
20.0,15.0,20.0,1.3838965267367376e-87
20.0,17.5,0.0,0.1353352832366127
20.0,17.5,0.2,0.12316170698775779
20.0,17.5,0.4,0.11158636741385636
20.0,17.5,0.6000000000000001,0.10062975970018703
20.0,17.5,0.8,0.09030803248122733
20.0,17.5,1.0,0.08063271459146418
20.0,17.5,1.2000000000000002,0.07161050648861361
20.0,17.5,1.4000000000000001,0.06324314547361873
20.0,17.5,1.6,0.05552735251692115
20.0,17.5,1.8,0.04845486674521224
20.0,17.5,2.0,0.04201257146368818
20.0,17.5,2.2,0.036182713027896135
20.0,17.5,2.4000000000000004,0.030943211006522486
20.0,17.5,2.6,0.026268054990367266
20.0,17.5,2.8000000000000003,0.0221277802287437
20.0,17.5,3.0,0.01849001116140579
20.0,17.5,3.2,0.015320059027485618
20.0,17.5,3.4000000000000004,0.012581557246394922
20.0,17.5,3.6,0.010237116349376376
20.0,17.5,3.8000000000000003,0.008248979048099177
20.0,17.5,4.0,0.006579655681726494
20.0,17.5,4.2,0.0051925208657046095
20.0,17.5,4.4,0.004052353697981472
20.0,17.5,4.6000000000000005,0.0031258063213210068
20.0,17.5,4.800000000000001,0.0023817888861335174
20.0,17.5,5.0,0.0017917628339095208
20.0,17.5,5.2,0.0013299386978513543
20.0,17.5,5.4,0.0009733790249299982
20.0,17.5,5.6000000000000005,0.0007020112731830919
20.0,17.5,5.800000000000001,0.0004985593460446209
20.0,17.5,6.0,0.00034840554027157843
20.0,17.5,6.2,0.0002393969106667596
20.0,17.5,6.4,0.00016161127475245013
20.0,17.5,6.6000000000000005,0.00010709826373169379
20.0,17.5,6.800000000000001,6.961003315740401e-05
20.0,17.5,7.0,4.4334621052057864e-05
20.0,17.5,7.2,2.76426909974646e-05
20.0,17.5,7.4,1.6855770832605432e-05
20.0,17.5,7.6000000000000005,1.004135244853713e-05
20.0,17.5,7.800000000000001,5.837594646969041e-06
20.0,17.5,8.0,3.3080658007405878e-06
20.0,17.5,8.200000000000001,1.8251124431334812e-06
20.0,17.5,8.4,9.791123721890826e-07
20.0,17.5,8.6,5.100693186718349e-07
20.0,17.5,8.8,2.5767892582187494e-07
20.0,17.5,9.0,1.2605283474849951e-07
20.0,17.5,9.200000000000001,5.961995985447279e-08
20.0,17.5,9.4,2.7221144369227037e-08
20.0,17.5,9.600000000000001,1.1977729491734144e-08
20.0,17.5,9.8,5.070371639117204e-09
20.0,17.5,10.0,2.061153622438558e-09
20.0,17.5,10.200000000000001,8.030766427512977e-10
20.0,17.5,10.4,2.993032259344969e-10
20.0,17.5,10.600000000000001,1.0647909619137742e-10
20.0,17.5,10.8,3.6079773720871403e-11
20.0,17.5,11.0,1.161750346280782e-11
20.0,17.5,11.200000000000001,3.546234530083662e-12
20.0,17.5,11.4,1.0236102345847003e-12
20.0,17.5,11.600000000000001,2.7865681752777105e-13
20.0,17.5,11.8,7.134672384472977e-14
20.0,17.5,12.0,1.7131391583847143e-14
20.0,17.5,12.200000000000001,3.8460176877672504e-15
20.0,17.5,12.4,8.047366643780643e-16
20.0,17.5,12.600000000000001,1.5641527689427505e-16
20.0,17.5,12.8,2.814352511995639e-17
20.0,17.5,13.0,4.670589871487152e-18
20.0,17.5,13.200000000000001,7.122039633687663e-19
20.0,17.5,13.4,9.939029507980498e-20
20.0,17.5,13.600000000000001,1.2640853340045511e-20
